source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,classifier.best_class_name,classifier.best_class_score,rrl.source_id,rrl.pf,rrl.pf_error,rrl.p1_o,rrl.p1_o_error,rrl.average_rv,rrl.average_rv_error,rrl.metallicity,rrl.metallicity_error,rrl.r21_g,rrl.r21_g_error,rrl.r31_g,rrl.r31_g_error,rrl.phi21_g,rrl.phi21_g_error,rrl.phi31_g,rrl.phi31_g_error,rrl.num_clean_epochs_g,rrl.num_clean_epochs_bp,rrl.num_clean_epochs_rp,rrl.num_clean_epochs_rv,rrl.best_classification,rrl.g_absorption,rrl.g_absorption_error
1204518424202454272,141242626,238.15993370877985,20.815097125351176,-0.04708917283626086,0.11581527,-0.40658867,-1.3162055044274084,0.102416165,-2.1190841268586755,0.112742454,31,,,0,1,0.9929452,100.741066,18.151905,23.583904,18.38511,35.079872,17.764011,1.1867269,0.6210995,,,,,,,VARIABLE,34.35104654142884,48.34711763518683,true,false,0,false,false,false,true,false,true,true,false,6149.4395,4.6973,-3.7194,3575.2024,0.0034,0.0019,RR,0.9129305,1204518424202454272,0.6390098988575509,7.725347E-6,,,,,-1.4012641,0.3320534,0.4678512,0.026530655,0.30200267,0.027067374,4.1061373,0.050071817,2.2397068,0.11193623,64,60,57,,RRab,0.0030529413,0.0746503
1411016122468229760,784808593,247.17515887830336,48.674760734051524,-0.22961259830409833,0.17667793,-1.2996111,-0.48083991317159935,0.1751974,-0.631547931165019,0.20168632,31,,,0,0,0.9677055,105.36265,18.934572,17.594587,19.190828,28.235598,18.572647,1.160218,0.6181812,,,,,,,VARIABLE,75.50411082747547,43.254584144021194,true,false,0,false,false,false,true,false,true,false,false,6177.985,4.6967,-2.6346,5190.7085,0.0016,9.0E-4,RR,0.68516046,1411016122468229760,0.6173251282853229,1.06323005E-5,,,,,,,0.21932805,0.064167425,,,3.4642322,0.42605802,,,35,34,31,,RRab,0.19026655,0.20091024
1370795025050529408,1070807389,236.5305210961596,33.15101003208356,0.028391453534199886,0.08992099,0.31573778,-1.2020520668834556,0.08248199,-0.252872283397538,0.11158211,31,,,0,0,1.0263243,99.82227,18.002745,20.320358,18.223783,31.83482,17.638002,1.1806267,0.5857811,,,,,,,VARIABLE,52.94346522161033,52.028402133098346,true,false,0,false,false,false,true,false,true,true,false,6268.3364,4.4586,-1.4434,4631.6753,0.0137,0.0075,RR,0.92710084,1370795025050529408,0.626824253668088,1.17185455E-5,,,,,-2.3744648,0.8137894,0.4630021,0.07548442,0.35269856,0.0721233,3.8951075,0.16981363,1.8013178,0.28530136,61,51,53,,RRab,,
1372829877476740736,1523438839,236.5136434757161,35.5226593593851,0.11025003427863597,0.13309136,0.8283786,-0.9730623053846029,0.1227594,-1.1344037560812799,0.15440078,31,,,0,0,0.9626134,82.72665,18.768671,19.75202,18.986021,27.889069,18.445354,1.160591,0.5406666,,,,,,,VARIABLE,56.79998348045702,52.09387269549028,true,false,0,false,false,false,true,false,true,false,false,6789.9673,4.5898,-2.3848,6996.9106,0.0029,0.0016,RR,0.7051407,1372829877476740736,0.6056769102726796,4.3392E-6,,,,,-1.3355224,0.31798828,0.51540095,0.020593515,0.40478835,0.03390553,4.038811,0.055225406,2.1708395,0.09976842,59,53,53,,RRab,-0.0014690823,0.17380297
1217515167039598464,854229775,234.2352482675518,22.53669948545805,-0.1876547805096426,0.21903102,-0.85674983,-0.6333601658414305,0.23198795,-0.9286762869019125,0.20726524,31,,,0,0,1.0883206,102.1069,18.922935,19.565117,19.165257,33.88703,18.575214,1.1599805,0.5900421,,,,,,,VARIABLE,35.283749452482446,52.33584750980422,true,false,0,false,false,false,true,false,true,false,false,6123.7554,4.7019,-2.2314,5072.768,0.0037,0.002,RR,0.88149875,1217515167039598464,0.7088600692253082,4.7789895E-6,,,,,-1.512234,0.3188125,0.51003313,0.018591743,0.31424057,0.022280235,4.1649218,0.048628427,2.3654597,0.09611932,59,53,51,,RRab,,
1222520762444294784,558922751,232.33239483153977,25.73960215778735,-0.5998636884945512,0.21615171,-2.7751975,-0.7597861502027545,0.117716745,-1.0769801926178024,0.16070735,31,,,0,0,0.9842412,233.19397,18.998186,33.753204,19.296621,47.03546,18.608854,1.1534115,0.687767,,,,,,,VARIABLE,39.84658391924588,54.771999671673896,true,false,0,false,false,false,true,false,true,false,false,6116.7363,4.6968,-2.1765,5252.6636,0.005,0.0027,RR,0.69017243,1222520762444294784,0.7016935657838391,3.744662E-6,,,,,-0.91667926,0.3237408,0.39341205,0.017156048,0.19879451,0.026772993,4.2299867,0.06591757,2.6215448,0.119674355,96,90,87,,RRab,0.17410322,0.10154316
1223808810253225728,963781188,237.14606106228678,28.067722241319697,-0.06842409309784159,0.09891656,-0.69173545,-1.4159623930145648,0.07668667,-1.971894680775903,0.10037356,31,,,1,0,0.9600233,109.75803,18.090899,28.942795,18.275408,45.65047,17.719187,1.2046645,0.556221,,,,,,,VARIABLE,44.91066445721142,50.96144223857849,true,false,0,false,false,false,true,false,true,true,false,6568.191,4.5632,-3.1109,4700.7026,0.0102,0.0056,RR,0.6983079,1223808810253225728,0.6572317955291707,6.866988E-5,,,,,,,0.42301273,0.08060769,,,3.9710965,0.17661147,,,82,80,74,,RRab,-0.049637813,0.091192104
1224976865262809984,1723355028,236.16205144004167,29.908847248911258,-0.027783458165305336,0.1170088,-0.2374476,-0.9954503979283342,0.100991085,-0.42754158448976487,0.13527744,31,,,0,0,1.0284635,338.2992,18.409111,49.48346,18.65614,63.808613,18.004349,1.1887466,0.6517906,,,,,,,VARIABLE,47.64603101928717,52.072266062431346,true,false,0,false,false,false,true,false,true,false,false,6330.359,4.5392,-2.0593,4992.047,0.0085,0.0047,RR,0.18679081,1224976865262809984,0.8299706109464207,8.770818E-6,,,,,,,0.25863895,0.022892928,,,4.56473,0.08764946,,,73,70,69,,RRab,-0.018343449,0.07171776
1312036745705210752,1432508952,248.11746474043454,29.989412744495016,-0.42132263235968176,0.13879359,-3.035606,-0.8792556573828226,0.14000037,-1.7125399427720331,0.15241478,31,,,0,0,1.5428331,82.77789,18.087065,22.766912,18.18898,35.021343,17.630991,1.3009236,0.5579891,,,,,,,VARIABLE,50.093209598199294,41.85161935900878,true,false,0,false,false,false,true,false,true,true,false,6068.8354,4.594,-3.6736,3551.384,0.0055,0.003,RR,0.74061394,1312036745705210752,0.6440410001491327,9.646554E-6,,,,,-2.0864196,0.5897388,0.52958745,0.04588003,0.36763537,0.057602253,4.1018195,0.1360378,1.9646244,0.21062294,63,59,57,,RRab,0.20834395,0.07683327
1276823683235426048,839440065,230.79207285358686,30.57154484014692,0.18997952685379965,0.16951375,1.1207323,-0.6989214151262632,0.14279042,-0.4695326362224341,0.15563081,31,,,1,0,0.9894093,102.648285,18.956749,23.502026,19.097467,30.233347,18.586632,1.228977,0.51083565,,,,,,,VARIABLE,48.05128980990998,56.75220558560862,true,false,0,false,false,false,true,false,true,false,false,6526.636,4.5872,-1.6685,6944.3813,0.0023,0.0013,RR,0.895018,1276823683235426048,0.6268195128006665,1.9359663E-6,,,,,-1.5570725,0.24956036,0.5118893,0.01617325,0.33569402,0.013458498,4.0473714,0.043614626,2.1327589,0.054607682,78,70,71,,RRab,0.22310847,0.11903489
1277607123926213376,1706719306,232.7893483033688,33.26577657344614,0.07220331405100308,0.12078667,0.5977755,-0.6434133128972991,0.0878675,-0.693382638184967,0.14660692,31,,,0,0,0.9275972,183.289,18.42173,41.153442,18.638655,59.976894,17.96621,1.2342365,0.6724453,,,,,,,VARIABLE,52.97729255842235,55.16045294766132,true,false,0,false,false,false,true,false,true,false,false,6170.25,4.6646,-2.6527,4112.3647,0.0048,0.0026,RR,0.7173512,1277607123926213376,0.6657249281591393,1.1250093E-5,,,,,-2.5786448,0.3897761,0.44701484,0.037063673,0.31353363,0.032324992,3.9505987,0.08509191,1.8491666,0.1023188,62,59,57,,RRab,0.16872919,0.07725616
1695653500777665920,1579435513,233.15410454493684,70.22883692063701,0.03594823283539492,0.12175552,0.2952493,-1.199606586130432,0.16382691,-0.15505602660809284,0.15111388,31,,,0,0,1.0138309,155.67987,18.605154,28.755516,18.863775,41.139225,18.170475,1.1996857,0.69330025,,,,,,,VARIABLE,106.0285791696876,41.202672430733834,true,false,0,false,false,false,true,false,true,false,false,6057.798,4.7122,-3.9094,4142.5806,0.0052,0.0028,RR,0.2642672,1695653500777665920,0.7410566566089984,3.9329407E-6,,,,,-1.3402035,0.30722335,0.44540733,0.025412403,0.2271051,0.020785768,4.286594,0.04773328,2.5019138,0.092255995,36,34,33,,RRab,0.06893655,0.079353735
1304853533162113280,419158023,248.4220294249567,27.791239139795834,0.024256154703107925,0.09015023,0.2690637,-1.1780737626250335,0.08646133,-0.8865795551288724,0.1011062,31,,,0,0,1.0121349,158.38713,18.122993,36.14141,18.365822,55.14099,17.680033,1.2128701,0.6857891,,,,,,,VARIABLE,47.29565461303332,41.13557894026069,true,false,0,false,false,false,true,false,true,true,false,5952.8306,4.6684,-2.3538,3275.9712,0.0032,0.0018,RR,0.8752569,1304853533162113280,0.6158507558808003,4.2328306E-6,,,,,-0.92008305,0.2342763,0.44357044,0.015880136,0.24867263,0.013723589,4.210334,0.034953676,2.4212902,0.048466764,68,59,60,,RRab,0.2516961,0.07056917
1305154872364088704,1291443405,246.21722992580874,27.389122826922286,-0.07726673690537383,0.09741601,-0.7931626,-1.3216382981508465,0.09918819,-1.7131618864746159,0.102507755,31,,,0,0,1.0859216,129.89323,18.060856,30.984962,18.286976,41.659283,17.629854,1.2149286,0.65712166,,,,,,,VARIABLE,46.18449700428439,42.95196573926485,true,false,0,false,false,false,true,false,true,true,false,6071.808,4.6133,-3.4175,3514.931,0.005,0.0027,RR,0.4456119,1305154872364088704,0.6672383410455218,1.7567287E-5,,,,,-2.342798,0.50427544,0.47067916,0.054213416,0.37910116,0.05642297,3.911787,0.09519654,1.9371979,0.15512654,62,54,57,,RRab,0.062228806,0.09725507
1423721395939723136,1387439167,246.68569878240226,50.065690094594046,-0.03416464773454251,0.08719858,-0.39180282,-1.362218337414889,0.11326657,-0.26366019523161954,0.1257953,31,,,0,0,1.0844084,85.835686,18.030134,23.265436,18.235329,34.93501,17.65596,1.1944631,0.5793686,,,,,,,VARIABLE,77.45783765794374,43.38021121030447,true,false,0,false,false,false,true,false,true,true,false,6214.2246,4.6885,-3.4727,3538.666,0.0031,0.0017,RR,0.42632455,1423721395939723136,0.6281661837097949,1.9647701E-5,,,,,,,0.4609918,0.0956325,0.3889811,0.13921097,4.064255,0.30306733,1.5324591,0.325198,39,35,37,,RRab,-0.13033572,0.18097289
1428442660213835392,1387952178,246.09026882948973,54.40520305985262,-0.22346590195943056,0.15569387,-1.4352903,-1.0042550427127184,0.16409989,-0.3264180123813022,0.19971924,31,,,0,0,1.0436691,74.980774,18.726933,17.235577,18.9679,17.835096,18.356632,1.1728886,0.6112671,,,,,,,VARIABLE,83.39301612361655,42.91136817634889,true,false,0,false,false,false,true,false,false,false,false,,,,,,,RR,0.8448864,1428442660213835392,0.6127491328428334,4.0383197E-6,,,,,-2.2678142,0.38394505,0.44454938,0.031471286,0.3180298,0.03158801,3.940294,0.101522826,1.7945737,0.11533727,37,33,31,,RRab,-0.07727099,0.11365621
1398369814603119872,1441607238,240.0418825469898,45.17041271206559,-0.00944553094774243,0.09781268,-0.09656755,-0.7379017297054073,0.108672395,-0.41546735615942754,0.12244926,31,,,0,0,0.97938323,95.737755,18.294004,25.184427,18.516075,37.110794,17.879118,1.2079037,0.63695717,,,,,,,VARIABLE,71.52327511263348,48.57636609392727,true,false,0,false,false,false,true,false,true,false,false,6276.9727,4.6122,-1.0073,4683.3853,0.004,0.0022,RR,0.5783994,1398369814603119872,0.624068327939218,7.7305995E-6,,,,,-0.81600064,0.3537866,0.50652164,0.027860604,0.29353607,0.0489362,4.4103394,0.12759928,2.5047252,0.17824176,46,40,38,,RRab,0.07793082,0.07990682
1399825847171888768,1595258314,239.28885246946683,48.18611788083545,-0.0625730201112956,0.5187732,-0.12061729,0.5345580944638942,0.50215626,0.9996784509610768,0.65142334,95,1.3228557,0.13556296,1,0,1.9581683,142.69221,18.72499,51.36666,16.120281,331.30408,14.714399,24.908327,1.4058819,,,,,,,VARIABLE,76.14249636919254,48.48897831515984,false,true,0,true,false,false,true,false,false,false,false,,,,,,,RR,0.05669212,1399825847171888768,0.6129453660895849,3.628767E-5,,,,,,,,,,,,,,,42,28,28,,RRab,27.44149,0.25686687
1402599360957153408,105478730,234.33447920365398,49.225860026289496,-0.058350372772927483,0.12510324,-0.46641776,-0.754266192375523,0.12677468,-0.23753491133089727,0.1628772,31,,,0,0,0.9658984,191.47652,18.530537,35.22166,18.755545,51.413757,18.119005,1.2044034,0.63653946,,,,,,,VARIABLE,79.12056290948439,51.33362997955435,true,false,0,false,false,false,true,false,true,false,false,6240.0894,4.6877,-2.2019,4445.0117,0.0028,0.0015,RR,0.17747183,1402599360957153408,0.6390037813787637,6.7871224E-6,,,,,-0.37593433,0.37744388,0.31409118,0.036122397,0.16629688,0.03199461,4.3410425,0.14066386,2.8355255,0.22242405,44,41,40,,RRab,0.09787388,0.07295762
1406842960443798912,1040386159,249.2096159268388,45.540258633549364,0.017886452085831978,0.16236652,0.11016096,-0.7457271554472127,0.1960155,-0.35525571746336154,0.21494918,31,,,0,0,1.0218234,72.7008,18.841026,17.439978,19.138496,23.687614,18.531874,1.1110127,0.6066227,,,,,,,VARIABLE,71.09786146613428,42.133944576829585,true,false,0,false,false,false,true,false,true,false,false,6380.6143,4.5913,-1.1319,6725.5537,0.0021,0.0011,RR,0.7705066,1406842960443798912,0.660293615799598,2.8420562E-5,,,,,,,0.39306718,0.112940036,,,3.709459,0.214135,,,41,40,39,,RRab,-0.19294655,0.2066039
1374340709532626304,1750570349,235.9947659373048,35.53855908433311,0.034962809333233875,0.10686858,0.32715705,-1.0921922753875377,0.092357144,-1.2932792385207437,0.14716932,31,,,1,0,1.0061172,104.63068,18.362597,26.35391,18.599936,41.96241,18.009811,1.1653607,0.59012413,,,,,,,VARIABLE,56.83134342763013,52.51600137713664,true,false,0,false,false,false,true,false,true,false,false,6552.8657,4.5462,-2.4049,5415.4463,0.0089,0.0049,RR,0.92034996,1374340709532626304,0.658059515695428,5.183895E-6,,,,,-2.0932863,0.34999567,0.4650091,0.025601147,0.32521105,0.033460733,4.10767,0.07672684,2.0035298,0.09936997,58,55,57,,RRab,,
1381483240145050496,1502418538,243.38048465492957,40.47504322674104,-0.08796989892804165,0.14235145,-0.61797684,-0.7072962545414208,0.14031567,-0.6988293338352216,0.16272853,31,,,0,0,0.99856323,102.110886,18.744993,22.296816,18.9576,29.295206,18.38194,1.1843222,0.5756588,,,,,,,VARIABLE,64.245047512653,46.58732425085166,true,false,0,false,false,false,true,false,true,false,false,6569.1787,4.5837,-2.4024,6297.0254,0.0069,0.0038,RR,0.6843499,1381483240145050496,0.6913695098092731,4.4346843E-6,,,,,-1.2407738,0.29415348,0.5134529,0.023394281,0.33440065,0.025430107,4.2778797,0.045474045,2.4453096,0.09571518,49,40,38,,RRab,0.0046612862,0.10692324
1383126151035978368,1412772092,238.71702342829568,41.18406931951732,0.052797949023454416,0.13104889,0.40288743,-0.9291945802244848,0.13522151,-0.764964442481671,0.15647617,31,,,0,0,1.082445,254.8469,18.688812,32.129425,18.941868,49.772095,18.315393,1.1681615,0.6264744,,,,,,,VARIABLE,65.6558565334697,50.06179599928598,true,false,0,false,false,false,true,false,true,false,false,6260.674,4.6843,-2.7287,4848.5615,0.0043,0.0024,RR,0.16090368,1383126151035978368,0.7807048019351897,4.506105E-6,,,,,-0.8487625,0.5040533,0.35605007,0.026074447,0.1575315,0.023086704,4.24007,0.07524992,2.7726188,0.19336218,57,49,48,,RRab,,
1381842819103265152,1375779929,242.5578789915435,41.81502466277207,-0.0286524195393176,0.1591261,-0.18006109,-1.0797206476416032,0.17254798,-0.4453430028544285,0.17867829,31,,,0,0,1.0196356,71.0451,18.851526,15.431577,18.980944,21.96307,18.446833,1.2547973,0.534111,,,,,,,VARIABLE,66.2454736278183,47.142939945848575,true,false,0,false,false,false,true,false,true,false,false,6370.0796,4.6682,-2.9187,5609.7324,0.0031,0.0017,RR,0.48134017,1381842819103265152,0.6146220075713914,6.613995E-6,,,,,-2.4547212,0.51410955,0.3833991,0.042009518,0.34211493,0.06092351,3.9409513,0.1272687,1.7311201,0.16446407,42,39,38,,RRab,0.24286923,0.12874769
1390177529558704256,1216588849,235.56496195778638,42.09917373632665,0.19989490765090057,0.1017588,1.9643992,-0.9625862856300843,0.10349392,-0.6940192927950604,0.1254725,31,,,0,0,1.0546042,71.30627,18.24143,15.937864,18.368734,27.34502,17.867743,1.2388456,0.5009918,,,,,,,VARIABLE,67.59961036900701,52.2755834187113,true,false,0,false,false,false,true,false,true,true,false,6401.0054,4.5782,-4.0224,4661.5947,0.007,0.0039,RR,0.43656394,1390177529558704256,0.6242350711231208,8.197583E-6,,,,,-2.6028094,0.3507136,0.44944227,0.053638045,0.35021773,0.056331683,3.9073355,0.099024564,1.7101046,0.09857294,50,48,48,,RRab,0.039270822,0.19609195
1299265471471813888,345110667,247.70709499285863,24.28240407814421,0.2267992396376491,0.13177624,1.7210935,-1.2300885417924128,0.099982284,-0.9049769887142604,0.13627137,31,,,0,0,1.0275263,224.71147,18.55179,25.644312,18.755434,45.94863,18.122374,1.2263316,0.63306046,,,,,,,VARIABLE,42.57900956116866,40.889036638289255,true,false,0,false,false,false,true,false,true,false,false,6101.2656,4.7055,-3.7507,4081.5293,0.0027,0.0015,RR,0.6582373,1299265471471813888,0.6371710204194322,3.354254E-6,,,,,-0.73795414,0.25327906,0.42871237,0.029575456,0.23707737,0.024289636,4.281062,0.06472848,2.5847688,0.081931055,86,31,31,,RRab,0.12691118,0.081755176
1327876000978320640,32743387,248.73216792026278,35.9157179538623,-0.016260120853430232,0.10205502,-0.159327,-1.125572797330616,0.12195055,-1.3619524506792136,0.12066012,31,,,1,0,1.0402886,89.22843,18.244284,19.803532,18.460611,33.26274,17.880226,1.1828284,0.5803852,,,,,,,VARIABLE,58.090200530629545,42.21092296235313,true,false,0,false,false,false,true,false,true,true,false,6321.982,4.6655,-3.2825,4171.779,0.0072,0.004,RR,0.9045902,1327876000978320640,0.604728597127271,2.1575652E-6,,,,,-2.323992,0.5781983,0.44003007,0.047621224,0.35549822,0.04765893,3.8495367,0.13042292,1.7457938,0.20818755,47,46,45,,RRab,-0.042893067,0.090096794
1329730396057101696,1736347061,243.6494473419772,34.84658001272444,0.06385763335732164,0.09101654,0.7016047,-1.017334869959092,0.08067376,-0.6272104683832866,0.12278228,31,,,0,0,1.0186212,113.315025,18.040607,30.46055,18.222345,43.877926,17.632519,1.2264248,0.5898266,,,,,,,VARIABLE,56.08694581790604,46.24251767616679,true,false,0,false,false,false,true,false,true,true,false,6475.8525,4.5471,-2.3407,4521.507,0.0074,0.0041,RR,0.8771733,1329730396057101696,0.6107346186921709,5.973334E-6,,,,,-1.196538,0.44046295,0.42874202,0.05323584,0.26154447,0.035223424,4.3136797,0.082546294,2.2563772,0.19974649,53,50,48,,RRab,0.077874966,0.08815695
1643960889310752128,516999628,231.37103762234727,64.45395030725749,5.855017991337544E-4,0.14520879,0.0040321373,-1.4605505685244244,0.1713004,-0.8871810617448903,0.18319495,31,,,0,0,1.0455248,176.41368,18.91969,23.364777,19.026901,30.845413,18.69009,1.1770878,0.33681107,,,,,,,VARIABLE,100.45860085529955,45.374985311392734,true,false,0,false,false,false,true,false,true,false,false,7194.085,4.5853,-3.0062,8847.659,6.0E-4,3.0E-4,RR,0.058272235,1643960889310752128,0.7292287364266526,5.09285E-5,,,,,,,,,,,,,,,62,60,57,,RRab,,
1627558134329837952,1300793899,239.56575308557495,61.48897662991081,0.07034512937369092,0.086943425,0.80909085,-1.160255288088147,0.10376917,0.15413028254325664,0.109528854,31,,,0,0,0.9941636,116.20636,18.02079,29.155672,18.216452,38.53592,17.683271,1.1800344,0.53318024,,,,,,,VARIABLE,94.1641575981724,43.78842057484937,true,false,0,false,false,false,true,false,true,true,false,6784.6616,4.5376,-3.0431,5140.1484,0.0098,0.0054,RR,0.7626376,1627558134329837952,0.6384108645401054,1.9352838E-5,,,,,,,,,,,,,,,61,67,66,,RRab,-0.03903272,0.0926633
1317392161902745344,1673948843,244.11807633055705,27.86707001650095,0.13541358038436743,0.013505806,10.026323,-11.292851103539551,0.011421661,0.11331486848782082,0.014896006,31,,,0,0,1.0323321,296.97464,13.938499,80.06687,14.203262,124.08322,13.496393,1.200774,0.7068691,-165.7859,3.9902413,40,8.429167,,,VARIABLE,46.289862657492876,44.87066610793042,false,false,0,true,true,false,true,false,false,true,false,,,,,,,RR,0.39258376,1317392161902745344,0.8280759634466232,4.1953344E-6,,,,,0.10330279,0.30392724,0.30676335,0.009652265,0.104842216,0.012746524,4.561477,0.025391817,3.2608047,0.11087869,71,67,68,,RRab,0.054774266,0.05104
1321141977590168448,233477118,238.1165379867734,30.556727231110493,0.22794146448929173,0.0113264695,20.12467,-30.36499169626295,0.009194962,-2.528768586884567,0.012114642,31,,,0,0,1.0429938,232.34995,13.537927,63.469547,13.785555,99.71561,13.134591,1.1876258,0.6509638,-165.98889,3.5969229,28,11.325724,,,VARIABLE,48.99034050462531,50.470987916596705,false,false,0,true,true,false,true,false,true,true,false,6371.9404,3.1185,-1.7612,3733.6885,0.1862,0.1016,RR,0.6936349,1321141977590168448,0.6305541419713157,2.4148128E-6,,,,,-0.8815564,0.23323499,0.41291416,0.006972499,0.22982101,0.007791654,4.1930943,0.020389885,2.48342,0.04872463,72,71,69,,RRab,0.042733915,0.051830783
1303492513862128640,969114363,245.57555428273702,26.37581716339255,0.1830748260307188,0.014246036,12.85093,-5.304697482763901,0.010532779,-7.5592679046532645,0.014908432,31,,,0,0,1.0672016,140.92387,13.782283,37.18715,14.0323,62.95949,13.384641,1.1831653,0.6476593,-76.252716,5.0708914,33,8.329856,,,VARIABLE,44.65517942433443,43.280820882189246,false,false,0,true,true,false,true,false,true,true,false,7060.8687,3.488,-0.8317,3019.879,0.5091,0.2748,RR,0.7582842,1303492513862128640,0.7366717783421151,2.8521001E-6,,,,,-0.3418903,0.24257793,0.47306347,0.013667262,0.26534644,0.010547858,4.517953,0.026669638,2.981985,0.05952033,67,63,63,,RRab,0.040683005,0.05549554
